part,polygons,vertices,x,y,z,com_x,com_y,com_z,ang_w,ang_x,ang_y,ang_z,bbox_volume,bbox_area,square1,square2,volume,surface_area,sphericity,mean_poly_area,dev_poly_area,skew_poly_area,kurt_poly_area,err_poly_area,bbox_fraction,volume_fraction,surface_fraction,poly_fraction,relative_poly_density,poly_vert_ratio,bbox_vol_ratio,efficiency,class
body1.016,11914,5957,0.324000001,-1.04400003,0.002450203,0.323999941,-1.088808656,0.002450213,180,0,0.7071,0.7071,0.060934989,0.991517115,1,2.099,0.021787442,0.940029734,0.25422605,7.89E-05,0.000305886,27.57773615,1277.464263,3.876823523,0.031326147,0.051331698,0.041110974,0.045933317,0.894833382,2,2.796794045,0.377136128,gear
body1.017,5860,2930,0.324000001,-0.923999906,0,0.324000031,-0.868999839,0.000141998,180,0,0.7071,0.7071,0.022859531,0.616208975,1,4.143,0.01557878,0.622039866,0.337700972,0.00010615,0.00038658,20.27755217,590.9214529,3.641824872,0.011751886,0.036703953,0.027204102,0.022592684,0.615538176,2,1.467350491,0.675112173,gear
body1.018,2572,1288,0.643999994,-1.248999953,-7.11E-17,0.644000053,-0.522119343,0.000228362,120,0.5774,0.5774,0.5774,0.029742989,0.890652703,10.886,1.004,0.017300339,0.60862013,0.387490752,0.000236633,0.000650457,4.59861729,22.12424092,2.748800226,0.015290612,0.040759984,0.026617207,0.009916106,0.243280428,1.99689441,1.719214164,0.851200946,shaft
body1.019,1758,879,0.643999994,-1.20449996,-7.11E-17,0.644007981,-1.204505801,-4.37E-10,90,-1,0,0,0.000631253,0.050200547,1.003,2.814,0.000161486,0.034811623,0.264408173,1.98E-05,4.18E-05,2.246468878,3.993816547,2.109275425,0.000324522,0.000380465,0.001522441,0.006777805,17.81453972,2,3.909024951,0.368906016,bearing ring
body1.020,1758,879,0.643999994,-0.069499999,-7.11E-17,0.644007981,-0.069505848,-4.37E-10,90,-1,0,0,0.000631253,0.050200547,1.003,2.814,0.000161486,0.034811623,0.264408173,1.98E-05,4.18E-05,2.246468878,3.993816547,2.109275425,0.000324522,0.000380465,0.001522441,0.006777805,17.81453972,2,3.909024951,0.368906016,bearing ring
body1.021,10274,5137,0.643999994,-1.05400002,-0.002675,0.643999994,-0.964894652,-0.002675017,90,-1,0,0,0.049875356,0.853259506,1,1.899,0.01685139,0.844034981,0.231111332,8.22E-05,0.000238368,12.04304894,351.3636817,2.901535412,0.025640486,0.039702249,0.036912768,0.03961045,0.997687814,2,2.959717652,0.341562675,gear
body1.022,5848,2924,0.643999994,-0.214999989,-6.33E-17,0.643999994,-0.159999788,0.000319296,180,0,0.7071,0.7071,0.022859531,0.616208975,1,4.143,0.015103896,0.622043052,0.3274044,0.000106369,0.000302934,12.12673888,299.3214584,2.847965716,0.011751886,0.035585115,0.027204241,0.022546419,0.633591298,2,1.513485708,0.65452954,gear
body10,1368,686,-0.215999976,-0.027099997,-6.25E-15,-0.234124988,-0.027099991,-0.031393476,90,1,0,0,1.05E-06,0.000618751,1.001,1.002,5.50E-07,0.00032507,0.997152369,2.38E-07,9.93E-08,-0.490169979,-1.100290273,0.418047862,5.38E-07,1.29E-06,1.42E-05,0.005274197,4073.57595,1.994169096,1.905661994,0.998833437,ball bearing
body10.001,1368,686,-0.215999976,-1.191100001,1.07E-16,-0.234124988,-1.191100001,-0.031393476,90,1,0,0,1.05E-06,0.000618697,1.001,1.001,5.50E-07,0.00032507,0.997152369,2.38E-07,9.93E-08,-0.490169979,-1.100290273,0.418047862,5.38E-07,1.29E-06,1.42E-05,0.005274197,4073.57595,1.994169096,1.90541169,0.998876997,ball bearing
body10.002,1368,686,0,-0.033999998,3.75E-17,0.013374913,-0.030166699,0.023166031,180,0,-0.7071,0.7071,4.45E-07,0.000349513,1.001,1.001,2.33E-07,0.000183606,0.997151299,1.34E-07,5.61E-08,-0.490169697,-1.100290574,0.418047868,2.29E-07,5.50E-07,8.03E-06,0.005274197,9596.478019,1.994169096,1.905914276,0.998788399,ball bearing
body10.003,1368,686,-3.22E-29,-1.192000031,3.75E-17,-0.017499903,-1.192000031,-0.030310741,90,1,0,0,1.25E-06,0.000694847,1,1.001,6.54E-07,0.000365108,0.997153723,2.67E-07,1.12E-07,-0.490170164,-1.100290299,0.418047841,6.41E-07,1.54E-06,1.60E-05,0.005274197,3422.221914,1.994169096,1.905187228,0.998917072,ball bearing
body10.004,1368,686,0.324000001,-1.197000027,0,0.303375065,-1.197000027,0.035723466,90,-1,0,0,1.23E-06,0.000689585,1.001,1.001,6.46E-07,0.000362249,0.99715347,2.65E-07,1.11E-07,-0.490170311,-1.100290258,0.418047846,6.33E-07,1.52E-06,1.58E-05,0.005274197,3462.82754,1.994169096,1.905936291,0.998785985,ball bearing
body10.005,144,74,0.324000001,-0.053179681,0,0.276236773,-0.041679665,0.053913582,180,0,-0.7071,0.7071,6.78E-06,0.002152958,1.001,1.136,5.23E-06,0.001672549,0.813223689,1.16E-05,4.86E-06,-1.253498682,0.03496178,0.418692024,3.48E-06,1.23E-05,7.31E-05,0.000555179,45.05065764,1.945945946,1.295905428,0.993306568,roller bearing
